Gene_id	A1	B1	A2	A3	B2	B3	length
G000509	1104	1856	1083	1242	1164	833	1525
G000510	247	97	161	275	54	154	927
G000511	619	2127	526	645	789	642	2790
G000512	3081	5048	4872	2986	3383	1502	465
G000513	200	577	200	282	312	277	2151
G000514	13783	3781	8526	13206	3005	5545	640
G000515	254	208	544	284	88	172	2232
G000516	337	724	399	461	346	501	3669
G000517	5080	27201	2173	5615	12066	8779	1692
G000518	861	1119	844	1060	1176	668	1392
G000519	476	981	963	512	529	498	1530
G000520	7774	2370	8089	10512	2258	7657	699
G000521	480	463	429	569	373	333	1446
G000522	964	1553	497	841	1052	516	1158
G000523	1348	989	1399	1490	452	1688	657
G000524	2788	1628	2948	3559	904	1928	579
G000525	3359	3748	2126	3035	1550	2363	7762
G000526	1655	776	1459	1688	672	751	617
G000527	1602	5492	1884	2206	3609	2526	1230
G000528	260	276	224	276	288	206	384
G000529	1084	3017	568	920	1344	692	1242
G000530	7016	2894	12294	11646	4540	4313	312
G000531	1421	2559	990	1404	829	970	7425
G000532	194	229	249	173	114	149	885
G000533	1300	1241	1554	1315	409	747	1281
G000534	12932	7942	17478	14332	4999	6392	477
G000535	1122	689	1006	1262	437	966	399
G000536	560	741	772	607	585	383	732
G000537	44970	77325	90195	55396	36656	22136	540
G000538	855	906	1591	814	337	597	4029
G000539	102	182	125	146	77	205	2616
G000540	246	1098	258	275	466	334	1011
G000541	377	1095	198	349	411	300	1038
G000542	427	361	769	558	190	472	1653
G000543	979	2841	1146	1170	978	1095	3686
G000544	320	252	723	400	181	395	591
G000545	1253	1860	2067	1384	1044	1112	1059
G000546	418	896	661	510	489	501	918
G000547	300	57	276	211	78	105	414
G000548	272	455	384	321	216	313	2110
G000549	90	114	161	100	134	131	1140
G000550	378	344	486	499	256	384	534
G000551	635	820	1290	896	420	611	1328
G000552	1158	2361	1403	1212	1415	1230	1261
G000553	108	617	265	117	250	200	1101
G000554	739	947	983	838	591	610	699
G000555	1891	2626	2064	2426	1510	2332	1281
G000556	602	147	2293	812	338	130	630
G000557	998	930	764	1099	757	929	649
G000558	196	181	813	332	186	461	381
G000559	324	320	624	338	221	203	999
G000560	963	1573	1577	1007	690	1378	940
G000561	15188	48369	39732	18852	14521	21329	813
G000562	416	912	462	380	280	471	2259
G000563	772	4060	948	869	1117	1003	1728
G000564	51	384	149	66	108	153	582
G000565	896	3556	2334	933	1498	1672	1737
G000566	220	168	509	285	101	265	1254
G000567	453	734	687	488	280	508	3191
G000568	3560	2977	9158	3734	1384	1048	1200
G000569	90	329	103	86	196	121	804
G000570	153274	405026	63540	222344	355560	215387	768
G000571	8203	10926	5513	9799	6932	7383	1425
G000572	1894	1081	1107	2130	722	1018	1431
G000573	5530	8714	4542	7264	6330	3853	591
G000574	918	947	881	825	659	1189	602
G000575	9289	11239	9884	9479	5659	5412	678
G000576	1146	1722	749	1066	953	1197	858
G000577	226	316	360	270	144	172	1770
G000578	4699	18532	11251	5168	5708	7103	1011
G000579	604	700	702	647	502	507	732
G000580	586	1304	572	632	778	811	2646
G000581	1011	3325	426	1095	2032	1722	1447
G000582	728	1050	1476	812	561	639	720
G000583	1158	1832	1097	1202	1122	731	1692
G000584	1446	7781	1184	1419	2545	2877	4410
G000585	869	1050	1209	991	766	980	486
G000586	256	891	453	312	345	560	4113
G000587	472	710	918	596	407	266	1188
G000588	183	428	299	195	115	141	669
G000589	1672	1695	1651	2027	1043	1757	714
G000590	5396	17605	6849	5988	9908	5859	1352
G000591	658	1438	528	775	759	510	2013
G000592	55827	23021	68948	77152	25826	45181	513
G000593	752	2245	824	605	778	722	939
G000594	473	758	555	495	579	508	1554
G000595	6981	7220	6832	8976	5309	6553	747
G000596	310	527	166	255	418	354	519
G000597	377	405	872	517	264	454	1095
G000598	453	1366	268	488	955	481	1758
G000599	13567	9137	10090	18943	8489	11365	210
G000600	915	483	1408	1216	273	931	2196
G000601	421	197	611	717	120	519	1035
G000602	45	36	42	39	45	30	696
G000603	340	117	562	969	124	647	503
